Latitude,Longitude
55.812,37.637
55.659167,37.595
55.6544,37.4414
55.708141,37.613598
55.767442,37.798183
55.882641,37.462392
55.787392,37.454174
55.851663,37.452367
55.734976,37.487347
55.767485,37.830316
55.987209,37.229741
55.710359,37.726943
55.8737,37.5585
55.879824,37.543794
55.425556,37.272778
55.61099,37.717599
55.74,37.596389
55.796667,37.503056
55.88867,37.487819
55.70392,37.77961
55.653644,37.521232
55.824455,37.562862
55.692723,37.582726
55.728711,37.559971
55.701001,37.546581
55.839693,37.66198
55.696817,37.577716
55.683397,37.599571
55.809493,37.629225
55.896636,37.651294
55.799743,37.80773
55.608772,37.616254
55.624143,37.731739
55.803512,37.385423
55.843,37.801
55.382524,37.213376
55.6463,37.7138
55.894939,37.50329
55.596944,37.309444
55.887635,37.660028
55.888889,37.711944
55.548877,37.52492
55.687222,37.414444
55.680174,37.738386
55.6466,37.5295
55.649548,37.593553
55.7078,37.4841
55.624919,37.753165
55.7275,37.3789
55.605112,37.511197
55.6432,37.7332
55.6956,37.5308
55.611847,37.604004
55.747433,37.842388
55.7444,37.8161
55.72351,37.27598
55.465,37.3354
55.7541,37.569
55.782584,37.698301
55.606451,37.497196
55.74597,37.512575
55.870956,37.676227
55.730892,37.661519
55.7125,37.82
55.670278,37.558056
55.750556,37.410556
55.706387,37.412864
55.89,37.674
55.7119,37.8156
55.70849,37.45617
55.605936,37.543974
55.77017,37.359116
55.842778,37.800833
55.731258,37.847519
55.706055,37.537644
55.73947,37.372849
55.352778,37.341111
55.775451,37.819844
55.707282,37.391485
55.668092,37.591749
55.851944,37.783889
55.735556,37.497778
55.854,37.651
55.617222,37.484722
55.6375,37.364444
55.745298,37.369781
55.707096,37.579452
55.607124,37.762638
55.707989,37.586396
55.655104,37.496789
55.64029,37.671711
55.555644,37.587726
55.856997,37.77576
55.0,37.0
55.0,37.0
55.725817,37.670553
55.8936,37.5295
55.830023,37.408018
55.749458,37.562792
55.878159,37.488865
55.613238,37.73028
55.706944,37.459167
56.001216,37.212137
56.000541,37.209685
55.63381,37.770352
55.822,37.646
55.8347,37.5306
55.7439,37.8428
55.65246,37.79169
55.977778,37.161944
55.643657,37.677441
55.649348,37.371454
55.84706,37.568393
55.786926,37.675445
55.576788,37.577673
55.707778,37.818096
55.71862,37.634354
55.817421,37.391292
55.939683,37.36123
55.574948,37.617102
55.591927,37.608165
55.799062,37.40731
55.659167,37.758056
55.777309,37.462349
55.768511,37.594678
55.3264,37.2145
55.703903,37.641602
55.6531,37.7428
55.830537,37.691721
55.7231,44.7261
55.8494,37.4175
55.690598,37.488889
55.837187,37.504789
55.864329,37.560313
55.595,37.6625
55.7058,37.7408
55.67125,37.425667
55.6575,37.798889
55.58088,37.573006
55.984459,37.220103
55.792675,37.782497
55.626111,37.737778
55.815691,37.515199
55.703879,37.727051
55.790423,37.716473
55.631315,37.622294
55.675364,37.491006
55.620509,37.615664
55.579461,37.596545
55.4719,37.4052
55.625999,37.507187
55.827004,37.422609
55.732057,37.612354
55.801595,37.710807
55.745664,37.650679
55.689444,37.608056
55.873,37.578
55.680556,37.749167
55.718506,37.565367
55.843457,37.439118
55.753673,37.80329
55.755833,37.671944
55.976672,37.17375
55.3333,37.1942
55.532055,37.581396
55.696702,37.463626
55.6977,37.542
55.883333,37.482778
55.894266,37.501702
55.8879,37.6715
55.711773,37.849563
55.676347,37.549346
55.7096,37.5833
55.763694,37.656691
55.782222,37.736944
55.654947,37.414337
55.638316,37.691753
55.705493,37.746824
55.7928,37.7822
55.608089,37.578976
55.891233,37.573564
55.655867,37.611507
55.766993,37.832131
55.643453,37.469513
55.605,37.3842
55.713308,37.877448
55.7364,37.699
55.888889,37.711944
55.710322,37.836474
55.879,37.885
55.805,37.839
55.597509,37.586485
55.7122,37.8162
55.716066,37.797201
55.845,37.952
55.572979,37.691414
55.805556,37.548056
55.796402,37.840465
55.761,37.7034
55.821086,37.654681
55.775556,37.477222
55.736738,37.751133
55.6436,37.4906
55.833056,37.549444
55.7,37.614444
55.7119,37.7614
55.665992,37.768829
55.59441,37.663376
55.818867,37.649342
55.392,37.455
55.684492,37.854799
55.835833,37.657778
55.1245,37.9562
55.878194,37.559679
55.738135,37.514695
55.608693,37.292275
55.646905,37.47857
55.812,37.591
55.606439,37.626886
55.68722,37.844371
55.635075,37.811376
55.647081,37.838953
55.643947,37.354041
55.708986,37.834008
55.793417,37.805049
55.841626,37.355764
55.818512,37.617091
55.72682,37.447565
55.887262,37.693588
55.941,37.921
55.700175,37.820835
55.7681,37.7397
55.737247,37.410936
55.863333,37.550833
55.820664,37.591202
55.587047,37.602897
55.87,37.662
55.844181,37.426955
55.758177,37.839671
55.907778,37.547778
55.711457,37.60673
55.7475,37.8281
55.119167,37.894167
55.820212,37.81846
55.745799,37.563629
55.810958,37.487411
55.8697,37.6645
55.803223,37.638613
55.895036,37.673643
55.757571,37.545648
55.800045,37.635459
55.811489,37.397912
55.720686,37.566803
55.89361,37.536753
55.791505,37.489944
55.713889,37.845278
55.743021,37.631114
55.871922,37.683728
55.789065,37.557591
55.66477,37.548587
55.689597,37.736235
55.70305,37.930931
55.5788,37.4125
55.724391,37.827419
55.798664,37.707889
55.790153,37.735795
55.727835,37.623217
55.76469,37.784472
55.759161,37.64446
55.81623,37.781885
55.663648,37.509143
